time,zeta,temp,salt,current_speed,current_direction
2017-03-01 00:00:00,0.48,7.06,34.8,0.19,44.1
2017-03-01 01:00:00,0.33,7.06,34.8,0.24,50.79
2017-03-01 02:00:00,0.08,7.05,34.81,0.25,55.86
2017-03-01 03:00:00,-0.22,7.04,34.81,0.22,63.43
2017-03-01 04:00:00,-0.49,7.03,34.82,0.17,72.49
2017-03-01 05:00:00,-0.64,7.03,34.83,0.1,85.47
2017-03-01 06:00:00,-0.61,7.02,34.83,0.05,114.02
2017-03-01 07:00:00,-0.44,7.02,34.83,0.03,176.02
2017-03-01 08:00:00,-0.17,7.02,34.83,0.03,232.99
2017-03-01 09:00:00,0.14,7.02,34.83,0.03,313.24
2017-03-01 10:00:00,0.43,7.03,34.83,0.08,358.67
2017-03-01 11:00:00,0.62,7.03,34.83,0.14,14.36
2017-03-01 12:00:00,0.65,7.03,34.83,0.19,22.41
2017-03-01 13:00:00,0.51,7.02,34.83,0.23,26.02
2017-03-01 14:00:00,0.26,7.01,34.83,0.23,27.15
2017-03-01 15:00:00,-0.07,7.0,34.83,0.2,26.8
2017-03-01 16:00:00,-0.39,6.99,34.83,0.15,24.32
2017-03-01 17:00:00,-0.62,6.98,34.83,0.08,14.59
2017-03-01 18:00:00,-0.68,6.97,34.84,0.03,292.46
2017-03-01 19:00:00,-0.57,6.97,34.84,0.09,230.18
2017-03-01 20:00:00,-0.36,6.97,34.84,0.16,226.28
2017-03-01 21:00:00,-0.08,6.97,34.84,0.19,229.08
2017-03-01 22:00:00,0.2,6.97,34.83,0.19,234.37
2017-03-01 23:00:00,0.41,6.97,34.83,0.17,241.12
2017-03-02 00:00:00,0.48,6.98,34.83,0.14,250.17
2017-03-02 01:00:00,0.41,6.98,34.83,0.11,255.28
2017-03-02 02:00:00,0.21,6.98,34.83,0.1,249.82
2017-03-02 03:00:00,-0.08,6.98,34.82,0.1,237.78
2017-03-02 04:00:00,-0.39,6.98,34.82,0.12,229.9
2017-03-02 05:00:00,-0.62,6.98,34.82,0.13,234.82
2017-03-02 06:00:00,-0.73,6.98,34.82,0.12,243.42
2017-03-02 07:00:00,-0.68,6.98,34.82,0.12,240.12
2017-03-02 08:00:00,-0.49,6.98,34.82,0.1,226.01
2017-03-02 09:00:00,-0.23,6.98,34.82,0.09,205.87
2017-03-02 10:00:00,0.07,6.99,34.82,0.08,182.2
2017-03-02 11:00:00,0.31,6.99,34.82,0.07,151.12
2017-03-02 12:00:00,0.43,6.99,34.83,0.09,121.54
2017-03-02 13:00:00,0.4,6.99,34.83,0.1,104.55
2017-03-02 14:00:00,0.22,6.98,34.83,0.12,97.69
2017-03-02 15:00:00,-0.05,6.97,34.83,0.12,96.31
2017-03-02 16:00:00,-0.36,6.96,34.83,0.1,100.85
2017-03-02 17:00:00,-0.63,6.95,34.83,0.07,113.17
2017-03-02 18:00:00,-0.79,6.94,34.83,0.06,136.58
2017-03-02 19:00:00,-0.8,6.93,34.83,0.05,163.29
2017-03-02 20:00:00,-0.66,6.93,34.83,0.06,171.79
2017-03-02 21:00:00,-0.43,6.92,34.83,0.05,158.93
2017-03-02 22:00:00,-0.15,6.92,34.82,0.06,119.11
2017-03-02 23:00:00,0.12,6.91,34.82,0.09,90.11
2017-03-03 00:00:00,0.43,7.07,34.77,0.24,95.72
2017-03-03 01:00:00,0.47,7.05,34.76,0.26,96.76
2017-03-03 02:00:00,0.26,7.06,34.76,0.26,102.47
2017-03-03 03:00:00,0.08,7.08,34.75,0.23,102.77
2017-03-03 04:00:00,-0.2,7.11,34.75,0.19,101.52
2017-03-03 05:00:00,-0.47,7.14,34.74,0.15,100.92
2017-03-03 06:00:00,-0.61,7.15,34.74,0.11,105.74
2017-03-03 07:00:00,-0.68,7.16,34.74,0.07,110.88
2017-03-03 08:00:00,-0.58,7.17,34.74,0.05,117.1
2017-03-03 09:00:00,-0.38,7.18,34.74,0.04,102.42
2017-03-03 10:00:00,-0.11,7.19,34.74,0.07,81.17
2017-03-03 11:00:00,0.16,7.21,34.74,0.11,72.63
2017-03-03 12:00:00,0.37,7.24,34.74,0.16,71.58
2017-03-03 13:00:00,0.44,7.27,34.74,0.2,73.52
2017-03-03 14:00:00,0.38,7.3,34.74,0.22,76.37
2017-03-03 15:00:00,0.18,7.33,34.74,0.2,80.79
2017-03-03 16:00:00,-0.1,7.34,34.74,0.17,88.43
2017-03-03 17:00:00,-0.38,7.34,34.74,0.12,101.46
2017-03-03 18:00:00,-0.62,7.35,34.74,0.08,136.18
2017-03-03 19:00:00,-0.72,7.34,34.74,0.08,186.05
2017-03-03 20:00:00,-0.7,7.33,34.74,0.11,214.31
2017-03-03 21:00:00,-0.57,7.32,34.74,0.12,227.42
2017-03-03 22:00:00,-0.35,7.31,34.74,0.11,236.8
2017-03-03 23:00:00,-0.1,7.3,34.74,0.06,253.54
